 (5.726324319839+0.000000000000j)  (4.378827614094+0.000000000000j)
 (5.762166738510+0.000000000000j)  (4.378581463694-0.000000000000j)
 (6.251306056976+0.000000000000j)  (4.378449154751+0.000000000000j)
 (6.390191555023+0.000000000000j)  (4.378340221955-0.000000000000j)
 (6.667032480240+0.000000000000j)  (4.378275609651+0.000000000000j)
 (7.755017518997+0.000000000000j)  (4.378160592474-0.000000000000j)
 (6.664512395859+0.000000000000j)  (4.378093260228+0.000000000000j)
 (6.670516490936+0.000000000000j)  (4.378026104662-0.000000000000j)
 (6.530943870544+0.000000000000j)  (4.377976396102+0.000000000000j)
 (7.420382261276+0.000000000000j)  (4.377907566115+0.000000000000j)
 (6.785998106003+0.000000000000j)  (4.377821112524+0.000000000000j)
 (6.658519506454+0.000000000000j)  (4.377767671745+0.000000000000j)
 (6.824229478836+0.000000000000j)  (4.377713472851-0.000000000000j)
 (6.505082368851+0.000000000000j)  (4.377624237610+0.000000000000j)
 (6.382093191147+0.000000000000j)  (4.377571277021-0.000000000000j)
 (6.528741121292+0.000000000000j)  (4.377514862110+0.000000000000j)
 (7.008249521255+0.000000000000j)  (4.377417500881-0.000000000000j)
 (6.771719217300+0.000000000000j)  (4.377339615862-0.000000000000j)
 (7.016656637192+0.000000000000j)  (4.377233833612+0.000000000000j)
 (7.406202077866+0.000000000000j)  (4.377094246838-0.000000000000j)
 (7.455040931702+0.000000000000j)  (4.377039403971-0.000000000000j)
 (6.229392528534+0.000000000000j)  (4.376963108508+0.000000000000j)
 (7.272556304932+0.000000000000j)  (4.376883524105+0.000000000000j)
 (6.944351434708+0.000000000000j)  (4.376788478317-0.000000000000j)
 (6.829540967941+0.000000000000j)  (4.376703694299-0.000000000000j)
 (6.563963890076+0.000000000000j)  (4.376597579444+0.000000000000j)
 (7.173583984375+0.000000000000j)  (4.376511827601+0.000000000000j)
 (6.217713832855+0.000000000000j)  (4.376433920566+0.000000000000j)
 (7.042829990387+0.000000000000j)  (4.376347392204+0.000000000000j)
 (7.002071380615+0.000000000000j)  (4.376265473593+0.000000000000j)
 (5.994161605835+0.000000000000j)  (4.376173836809-0.000000000000j)
 (6.033249139786+0.000000000000j)  (4.376065732009+0.000000000000j)
 (4.968144893646+0.000000000000j)  (4.375997640132+0.000000000000j)
 (6.575117588043+0.000000000000j)  (4.375896571213+0.000000000000j)
 (6.440443277359+0.000000000000j)  (4.375838562392+0.000000000000j)
 (6.197897195816+0.000000000000j)  (4.375716976546+0.000000000000j)
 (4.784461498260+0.000000000000j)  (4.375630672605-0.000000000000j)
 (5.091564893723+0.000000000000j)  (4.375519306509+0.000000000000j)
 (5.468783378601+0.000000000000j)  (4.375405148077+0.000000000000j)
 (5.785626888275+0.000000000000j)  (4.375353795857+0.000000000000j)
 (5.145068407059+0.000000000000j)  (4.375250605731-0.000000000000j)
 (5.112367630005+0.000000000000j)  (4.375190165160+0.000000000000j)
 (6.405586481094+0.000000000000j)  (4.375069973100-0.000000000000j)
 (6.578004837036+0.000000000000j)  (4.374969243570-0.000000000000j)
 (6.834108591080+0.000000000000j)  (4.374870653467+0.000000000000j)
 (6.982562303543+0.000000000000j)  (4.374792893632-0.000000000000j)
 (5.957276582718+0.000000000000j)  (4.374671218192+0.000000000000j)
 (7.105485200882+0.000000000000j)  (4.374523948687+0.000000000000j)
 (6.801419258118+0.000000000000j)  (4.374449156031-0.000000000000j)
 (7.481208562851+0.000000000000j)  (4.374334111615-0.000000000000j)
 (8.260324954987+0.000000000000j)  (4.374296073166+0.000000000000j)
 (8.332597255707+0.000000000000j)  (4.374214163117+0.000000000000j)
 (8.162179708481+0.000000000000j)  (4.374120788719+0.000000000000j)
 (7.178632020950+0.000000000000j)  (4.374003681793-0.000000000000j)
 (7.498202323914+0.000000000000j)  (4.373956597101+0.000000000000j)
 (7.179333448410+0.000000000000j)  (4.373859153655+0.000000000000j)
 (6.068627595901+0.000000000000j)  (4.373748861771-0.000000000000j)
 (4.957350254059+0.000000000000j)  (4.373687435953-0.000000000000j)
 (6.427265167236+0.000000000000j)  (4.373601331520+0.000000000000j)
 (7.657792806625+0.000000000000j)  (4.373501414825-0.000000000000j)
 (7.025615453720+0.000000000000j)  (4.373402228971+0.000000000000j)
 (7.859977722168+0.000000000000j)  (4.373257830629-0.000000000000j)
 (8.239822387695+0.000000000000j)  (4.373164473468-0.000000000000j)
 (6.436804294586+0.000000000000j)  (4.373074053160+0.000000000000j)
 (7.064384937286+0.000000000000j)  (4.372977678954-0.000000000000j)
 (5.992792129517+0.000000000000j)  (4.372893632889+0.000000000000j)
 (6.290107011795+0.000000000000j)  (4.372820602531+0.000000000000j)
 (7.979662895203+0.000000000000j)  (4.372694382877-0.000000000000j)
 (8.265169858932+0.000000000000j)  (4.372492318117+0.000000000000j)
 (6.588575839996+0.000000000000j)  (4.372398858690+0.000000000000j)
 (6.150475740433+0.000000000000j)  (4.372313203333+0.000000000000j)
 (6.607025146484+0.000000000000j)  (4.372231794319-0.000000000000j)
 (8.245895624161+0.000000000000j)  (4.372077209993-0.000000000000j)
 (6.561184883118+0.000000000000j)  (4.372010610605+0.000000000000j)
 (6.493545055389+0.000000000000j)  (4.371911896550+0.000000000000j)
 (6.647862911224+0.000000000000j)  (4.371808306074-0.000000000000j)
 (6.360587358475+0.000000000000j)  (4.371664603255+0.000000000000j)
 (6.268016815186+0.000000000000j)  (4.371617814455+0.000000000000j)
 (6.136462450027+0.000000000000j)  (4.371518103889-0.000000000000j)
 (5.987123250961+0.000000000000j)  (4.371415587452-0.000000000000j)
 (6.505054235458+0.000000000000j)  (4.371341121034+0.000000000000j)
 (6.800356864929+0.000000000000j)  (4.371196213305-0.000000000000j)
 (6.146239757538+0.000000000000j)  (4.371127638865-0.000000000000j)
 (6.905858278275+0.000000000000j)  (4.370987146764+0.000000000000j)
 (6.124598979950+0.000000000000j)  (4.370826549874+0.000000000000j)
 (5.823429822922+0.000000000000j)  (4.370774655538-0.000000000000j)
 (6.801626205444+0.000000000000j)  (4.370662370974-0.000000000000j)
 (6.556292295456+0.000000000000j)  (4.370577352689-0.000000000000j)
 (6.791368484497+0.000000000000j)  (4.370408149631-0.000000000000j)
 (7.459493637085+0.000000000000j)  (4.370324869205-0.000000000000j)
 (5.924205780029+0.000000000000j)  (4.370233941409+0.000000000000j)
 (6.793180704117+0.000000000000j)  (4.370050315122-0.000000000000j)
